0.821, empty_set, 
0.832, 21 , 
0.977, 42 21 , 
0.963, 23 42 21 , 
0.940, 37 23 42 21 , 
0.914, 9 37 23 42 21 , 
0.887, 44 9 37 23 42 21 , 
0.866, 44 9 37 23 42 47 21 , 
0.850, 32 44 9 37 23 42 47 21 , 
0.836, 32 44 9 37 23 42 47 21 43 , 
0.819, 32 44 9 37 23 42 47 21 43 25 , 
0.803, 32 44 9 37 23 42 47 21 43 25 12 , 
0.796, 32 44 9 37 23 42 47 21 43 25 12 13 , 
0.794, 32 44 9 37 23 49 42 47 21 43 25 12 13 , 
0.783, 44 32 19 12 25 43 21 47 13 42 49 23 37 9 , 
0.779, 5 44 32 19 12 25 43 21 47 13 42 49 23 37 9 , 
0.773, 17 5 44 32 19 12 25 43 21 47 13 42 49 23 37 9 , 
0.770, 7 17 5 44 32 19 12 25 43 21 47 13 42 49 23 37 9 , 
0.763, 29 7 17 5 44 32 19 12 25 43 21 47 13 42 49 23 37 9 , 
0.754, 26 29 7 17 5 44 32 19 12 25 43 21 47 13 42 49 23 37 9 , 
0.751, 24 26 29 7 17 5 44 32 19 12 25 43 21 47 13 42 49 23 37 9 , 
0.744, 24 26 29 7 46 17 5 44 32 19 12 25 43 21 47 13 42 49 23 37 9 , 
0.748, 24 26 29 7 46 17 5 15 44 32 19 12 25 43 21 47 13 42 49 23 37 9 , 
0.754, 24 26 29 7 46 17 5 15 44 3 32 19 12 25 43 21 47 13 42 49 23 37 9 , 
0.750, 24 26 29 7 46 17 5 15 44 3 32 19 12 25 43 50 21 47 13 42 49 23 37 9 , 
0.749, 24 26 29 36 7 46 17 5 15 44 3 32 19 12 25 43 50 21 47 13 42 49 23 37 9 , 
0.748, 24 26 29 36 7 46 17 34 5 15 44 3 32 19 12 25 43 50 21 47 13 42 49 23 37 9 , 
0.749, 22 24 26 29 36 7 46 17 34 5 15 44 3 32 19 12 25 43 50 21 47 13 42 49 23 37 9 , 
0.749, 28 22 24 26 29 36 7 46 17 34 5 15 44 3 32 19 12 25 43 50 21 47 13 42 49 23 37 9 , 
0.745, 10 28 22 24 26 29 36 7 46 17 34 5 15 44 3 32 19 12 25 43 50 21 47 13 42 49 23 37 9 , 
0.741, 14 9 37 23 49 42 13 47 21 50 43 25 12 19 32 3 44 15 5 34 17 46 7 36 29 26 24 22 28 10 , 
0.745, 30 14 9 37 23 49 42 13 47 21 50 43 25 12 19 32 3 44 15 5 34 17 46 7 36 29 26 24 22 28 10 , 
0.749, 31 30 14 9 37 23 49 42 13 47 21 50 43 25 12 19 32 3 44 15 5 34 17 46 7 36 29 26 24 22 28 10 , 
0.745, 2 31 30 14 9 37 23 49 42 13 47 21 50 43 25 12 19 32 3 44 15 5 34 17 46 7 36 29 26 24 22 28 10 , 
0.747, 40 2 31 30 14 9 37 23 49 42 13 47 21 50 43 25 12 19 32 3 44 15 5 34 17 46 7 36 29 26 24 22 28 10 , 
0.742, 35 40 2 31 30 14 9 37 23 49 42 13 47 21 50 43 25 12 19 32 3 44 15 5 34 17 46 7 36 29 26 24 22 28 10 , 
0.742, 11 35 40 2 31 30 14 9 37 23 49 42 13 47 21 50 43 25 12 19 32 3 44 15 5 34 17 46 7 36 29 26 24 22 28 10 , 
0.740, 4 11 35 40 2 31 30 14 9 37 23 49 42 13 47 21 50 43 25 12 19 32 3 44 15 5 34 17 46 7 36 29 26 24 22 28 10 , 
0.736, 1 4 11 35 40 2 31 30 14 9 37 23 49 42 13 47 21 50 43 25 12 19 32 3 44 15 5 34 17 46 7 36 29 26 24 22 28 10 , 
0.734, 20 1 4 11 35 40 2 31 30 14 9 37 23 49 42 13 47 21 50 43 25 12 19 32 3 44 15 5 34 17 46 7 36 29 26 24 22 28 10 , 
0.738, 16 20 1 4 11 35 40 2 31 30 14 9 37 23 49 42 13 47 21 50 43 25 12 19 32 3 44 15 5 34 17 46 7 36 29 26 24 22 28 10 , 
0.737, 38 16 20 1 4 11 35 40 2 31 30 14 9 37 23 49 42 13 47 21 50 43 25 12 19 32 3 44 15 5 34 17 46 7 36 29 26 24 22 28 10 , 
0.737, 33 38 16 20 1 4 11 35 40 2 31 30 14 9 37 23 49 42 13 47 21 50 43 25 12 19 32 3 44 15 5 34 17 46 7 36 29 26 24 22 28 10 , 
0.734, 27 33 38 16 20 1 4 11 35 40 2 31 30 14 9 37 23 49 42 13 47 21 50 43 25 12 19 32 3 44 15 5 34 17 46 7 36 29 26 24 22 28 10 , 
0.730, 6 27 33 38 16 20 1 4 11 35 40 2 31 30 14 9 37 23 49 42 13 47 21 50 43 25 12 19 32 3 44 15 5 34 17 46 7 36 29 26 24 22 28 10 , 
0.729, 8 6 27 33 38 16 20 1 4 11 35 40 2 31 30 14 9 37 23 49 42 13 47 21 50 43 25 12 19 32 3 44 15 5 34 17 46 7 36 29 26 24 22 28 10 , 
0.725, 39 8 6 27 33 38 16 20 1 4 11 35 40 2 31 30 14 9 37 23 49 42 13 47 21 50 43 25 12 19 32 3 44 15 5 34 17 46 7 36 29 26 24 22 28 10 , 
0.723, 18 39 8 6 27 33 38 16 20 1 4 11 35 40 2 31 30 14 9 37 23 49 42 13 47 21 50 43 25 12 19 32 3 44 15 5 34 17 46 7 36 29 26 24 22 28 10 , 
0.717, 41 18 39 8 6 27 33 38 16 20 1 4 11 35 40 2 31 30 14 9 37 23 49 42 13 47 21 50 43 25 12 19 32 3 44 15 5 34 17 46 7 36 29 26 24 22 28 10 , 
0.718, 45 41 18 39 8 6 27 33 38 16 20 1 4 11 35 40 2 31 30 14 9 37 23 49 42 13 47 21 50 43 25 12 19 32 3 44 15 5 34 17 46 7 36 29 26 24 22 28 10 , 
0.710, 48 45 41 18 39 8 6 27 33 38 16 20 1 4 11 35 40 2 31 30 14 9 37 23 49 42 13 47 21 50 43 25 12 19 32 3 44 15 5 34 17 46 7 36 29 26 24 22 28 10 , 
